cod_id,mineral_name,corr_mineral_name,note
9012241,Supercubane,,
9007379,Superhydrous Phase B,,
1557978,Superhydrous phase B at 10 K,,
1557979,Superhydrous phase B at 300 K,,
1544719,Synthetic hollandite,Hollandite,synthetic
1544846,Synthetic melilite,Melilite,synthetic
1011152,Talc 2M,Talc,2M
9016006,Tantalaeschynite-(Ce),Tantalaeschynite-(Y),Ce
9015926,Tantalaeschynite-(Eu),Tantalaeschynite-(Y),Eu
9015033,Tantalaeschynite-(La),Tantalaeschynite-(Y),La
9015222,Tantalaeschynite-(Nd),Tantalaeschynite-(Y),Nd
9014515,Tantalaeschynite-(Pr),Tantalaeschynite-(Y),Pr
9014745,Tantalaeschynite-(Tb),Tantalaeschynite-(Y),Tb
9015462,Tanteuxenite-(Ho),Tanteuxenite-(Y),Ho
9014551,Tanteuxenite-(Lu),Tanteuxenite-(Y),Lu
9014442,Tanteuxenite-(Tm),Tanteuxenite-(Y),Tm
9016333,Tanteuxenite-(Yb),Tanteuxenite-(Y),Yb
9004223,Tetraauricupride,Tetra-auricupride,
2300517,Thallium,,
9008485,Thorium,,
9008568,Tin-alpha,Tin,alpha
1552103,Titanian andradite,Titanium-bearing Andradite,
9008554,Titanium-beta,,
4002732,Titannium nitride,,
9005512,TlAlSi3O8,,
9008003,Topaz (deuterated),Topaz,deuterated
1544607,Topaz Al2.01Si1.00O4F1.57(OH)0.43,Topaz,Topaz Al2.01Si1.00O4F1.57(OH)0.43
1544604,Topaz Al2.01Si1.00O4F1.57(OH)0.43 @ 1173 K,Topaz,Topaz Al2.01Si1.00O4F1.57(OH)0.43 @ 1173 K
1544605,Topaz Al2.01Si1.00O4F1.57(OH)0.43 @ 573 K,Topaz,Topaz Al2.01Si1.00O4F1.57(OH)0.43 @ 573 K
1544606,Topaz Al2.01Si1.00O4F1.57(OH)0.43 @ 873 K,Topaz,Topaz Al2.01Si1.00O4F1.57(OH)0.43 @ 873 K
1544610,Topaz Al2.01Si1.00O4F1.57(OH)0.43 Pax05,Topaz,Topaz Al2.01Si1.00O4F1.57(OH)0.43 Pax05
1544609,Topaz Al2.01Si1.00O4F1.57(OH)0.43 Pax05 at 5.1 GPa,Topaz,Topaz Al2.01Si1.00O4F1.57(OH)0.43 Pax05 at 5.1 GPa
1544608,Topaz Al2.01Si1.00O4F1.57(OH)0.43 Pax05 at 6.2 GPa,Topaz,Topaz Al2.01Si1.00O4F1.57(OH)0.43 Pax05 at 6.2 GPa
1545155,Topaz Al2.01Si1.00O4F1.57(OH)0.43 at 3.7GPa,Topaz,Topaz Al2.01Si1.00O4F1.57(OH)0.43 at 3.7GPa
9014359,Tricalcium aluminate,,
8104539,Tridymite HP at 693 K,Tridymite,Tridymite HP at 693 K
8104540,Tridymite HP at 773 K,Tridymite,Tridymite HP at 773 K
8104534,Tridymite OC at 443 K,Tridymite,Tridymite OC at 443 K
8104536,Tridymite OC at 493 K,Tridymite,Tridymite OC at 493 K
8104535,Tridymite OC at 573 K,Tridymite,Tridymite OC at 573 K
8104537,Tridymite OC at 653 K,Tridymite,Tridymite OC at 653 K
8104538,Tridymite OC at 693 K,Tridymite,Tridymite OC at 693 K
1009043,Troilite 2H,Troilite,2H
1011180,Troilite subcell,Troilite,subcell
9012665,Tveitite,Tveitite-(Y),
1544687,Ullmanite,Ullmannite,
1011234,Ullmannite (As),Ullmannite,As
9017027,Ulvospinel1,Ulvöspinel,
7706030,Unknown,,
1514007,Unnamed_Spinel,Spinel Supergroup,
9011340,Uramphite (deuterated),Uramphite,deuterated
9008584,Uranium-alpha,,
9008556,Uranium-gamma,,
9000078,Uranophane - alpha,Uranophane,
9001039,Uranophane - beta,Uranophane-β,
5000229,"Vanadinite, Brazilianite",Vanadinite,"Vanadinite, Brazilianite"
5000230,"Variscite 1O, Apophyllite",Variscite,"Variscite 1O, Apophyllite"
9014345,Vuoriyarvite,Vuoriyarvite-K,
9012193,WSe2,,
9007329,Wadsleyite II,Wadsleyite,II
1011156,Wakefieldite (Y),Wakefieldite-(Y),
9013878,"Walstromite-(Ca,Sr)",Walstromite,"Ca, Sr"
1011227,Wollastonite 2M,,
9012356,Wulfingite (deuterated),Wulfingite,deuterated
1011195,Wurtzite 2H,Wurtzite-2H,
9008486,Xenon,,
1008932,Xenotime (Tb),Xenotime,
1011143,Xenotime (Y),Xenotime-(Y),
3000264,Y zeolite with 100mbar CO2 at 200K,Zeolite Group,Y zeolite with 100mbar CO2 at 200K
3000265,Y zeolite with 100mbar CO2 at 300K,Zeolite Group,Y zeolite with 100mbar CO2 at 300K
3000262,Y zeolite with 100mbar Xe at 200K,Zeolite Group,Y zeolite with 100mbar Xe at 200K
3000263,Y zeolite with 100mbar Xe at 300K,Zeolite Group,Y zeolite with 100mbar Xe at 300K
9007519,Ylid,,
9012385,Yttrium,,
9008212,"Zeolite (K,Ba)-G,L",Zeolite Group,"Zeolite (K,Ba)-G,L"
9005060,Zeolite-L,Zeolite Group,Zeolite-L
1000477,Zhonghuacerite (Ce),Zhonghuacerite-(Ce),
7055317,Zinc(II) di(glycylphenylalaninate),,
9005285,Zinnwaldite-2M1,Zinnwaldite,2M1
9008523,Zirconium,,
1545159,Zn1.925Ti0.85Ta0.15O4 at 400 K,,
1545158,Zn1.925Ti0.85Ta0.15O4 at 500 K,,
1544668,Zn2(OH)PO4,,
4134624,Zn2FeNbO6,,
4134625,Zn2FeTaO6,,
1549040,Zn2GeO4 cubic spinel,,
1549041,Zn2GeO4 tetragonal spinel,,
1544331,Zn2SiO4 III,,
1544332,Zn2SiO4 IV,,
3000238,Zn2SiO4 olivine,,
3000241,Zn2SiO4 phase II,,
3000240,Zn2SiO4 phase III,,
3000239,Zn2SiO4 phase IV,,
3000237,Zn2SiO4 phase V,,
3000236,Zn2SiO4 spinel,,
1549039,Zn2SiO4 wadsleyite phase,,
3000234,Zn2SiO4 with Ag2CrO4,,
3000232,Zn2SiO4 with Ca2RuO4 structure,,
3000235,Zn2SiO4 with Cmcm,,
3000233,Zn2SiO4 with Pbam,,
8104544,Zn4Si2O7(OH)2H2O,,
1549469,Zr-CAU-30,,
4344045,ZrPOF-Epy,,
4133553,ZrTpmC*-CuI Metal-Organic Framework,,
7130309,[Ag2(BDT)]n,,
4335929,|(C15N2H32)(NH4)|[Ge11 O21.5(OH)4],,
